Payment System Indicators,Volume_inlakhs_FY_2021-22,Volume_inlakhs_2021_July,Volume_inlakhs_2022_June,Volume_inlakhs_2022_July,Value_inCrore_FY_2021-22,Value_inCrore_2021_July,Value_inCrore_2022_June,Value_inCrore_2022_July
1 CCIL Operated Systems,33.011334999999995,2.68489,3.422305,3.3880000000000003,206873111.647,16798811.584,22912930.0064791,21126043.982
1.1 Govt. Securities Clearing,12.220659999999999,0.97936,1.32128,1.32782,142072938.652,11096030.913999999,15445511.4564791,14218681.012
1.1.1 Outright,6.2176599999999995,0.49605,0.67942,0.70971,8793300.912,744620.524,844409.2764791,851203.932
1.1.2 Repo,3.08435,0.24625,0.33842,0.34272,51015711.99,3802643.94,5627914.63,5764070.43
1.1.3 Tri-party Repo,2.91865,0.23706,0.30344,0.27539,82263925.75,6548766.449999999,8973187.55,7603406.65
1.2 Forex Clearing,19.909905,1.63514,1.968945,1.92954,59775826.120000005,5290625.67,6778124.55,6272727.97
1.3 Rupee Derivatives @,0.8807699999999999,0.07039,0.13208,0.13064,5024346.875,412155,689294,634635
1 Credit Transfers - RTGS,2078.3918,167.65021,194.41531,189.2627,128657516.47132164,10741314.108032793,12356053.532473754,11551439.68043957
1.1 Customer Transactions,2063.73283,166.4306,193.17814,188.06076,113319291.72476746,9288983.572141245,10840908.941576634,9927090.961271131
1.2 Interbank Transactions,14.65897,1.21961,1.23717,1.20194,15338224.746554174,1452330.5358915478,1515144.5908971198,1624348.719168439
2 Credit Transfers - Retail,577934.74194,41372.716,69921.2685,74673.64279,42728005.55091623,3215234.4567759167,4298157.623739057,4267239.146950418
2.1 AePS (Fund Transfers) @,9.760000000000002,1.0300000000000002,0.6200000000000002,0.6800000000000004,574.8900000000001,60.78,36.720000000000006,39.510000000000005
2.2 APBS $,12573.328580000001,1047.33919,1222.2399999999998,1259.9899999999998,133345.093185744,7980.675087035998,23010.46,12510.93
2.3 IMPS,46625.24508,3524.64,4557.01,4608.299999999999,4171037.4708114,311310.38202123693,443776.04000000004,444540.95
2.4 NACH Cr $,18757.816730000002,1174.6826,1489.9900000000002,1892.8799999999999,1281685.4274510478,85696.63629916799,100908.9,119676.75999999998
2.5 NEFT,40407.29053,3170.0049599999993,4022.3285,4018.39279,28725462.789696448,2204302.7811652278,2716012.883739057,2627353.956950418
2.6 UPI @,459561.30102,32455.01925,58629.08,62893.4,8415899.879771588,605883.2022032482,1014412.6200000001,1063117.04
2.6.1 of which USSD @,11.990810000000002,1.08,0.99136,1.61638,176.556022,16.33,12.475920799999995,17.647151499999996
3 Debit Transfers and Direct Debits ,12189.48701,986.32214,1225.9560900000001,1217.9663599999997,1034443.535407667,86502.6605974,100325.47508831898,100581.20988731898
3.1 BHIM Aadhaar Pay @,227.73,17.490000000000002,39.82,21.26,6113.489181000001,413.67,1048.9799999999998,620.5199999999999
3.2 NACH Dr $,10754.73962,877.08,1048.14,1067.0499999999997,1026640.553956246,85979.98,99060.06999999999,99753.51999999997
3.3 NETC (linked to bank account) @,1207.0173900000002,91.75214,137.99609,129.65636,1689.4922704209996,109.01059739999998,216.425088319,207.169887319
4 Card Payments,61782.93139,5225.85557,5376.24265,5481.802890000001,1701850.9392770503,135972.20138964726,169668.79075147686,180370.6929910892
4.1 Credit Cards ,22398.82319,1820.48822,2279.4572799999996,2348.33761,971637.6827742613,74884.76330914427,108751.63364999689,115855.73151135119
4.1.1 PoS based $,11124.593457500001,900.27492,1210.50714,1220.69302,380643.413078582,30498.083646533287,40465.51333421567,41766.61895472098
4.1.2 Others $,11274.229732499998,920.2133,1068.95014,1127.64459,590994.2696956794,44386.67966261098,68286.12031578123,74089.1125566302
4.2 Debit Cards,39384.1082,3405.36735,3096.78537,3133.4652800000003,730213.256502789,61087.438080502994,60917.15710147997,64514.961479738005
4.2.1 PoS based $,22967.103760809274,1901.6401557386216,2012.89839,2053.40009,451550.32706516556,36763.74604171126,39876.74613750024,41211.02551209577
4.2.2 Others $,16417.004439190725,1503.7271942613784,1083.88698,1080.06519,278662.9294376235,24323.692038791738,21040.410963979735,23303.935967642232
5 Prepaid Payment Instruments,65782.75047,4958.98733,6258.02573,6195.342920000001,279416.42169010954,20587.168839407794,24738.19890191817,25308.85602130375
5.1 Wallets,53013.85887,4068.8510499999998,4979.19308,4855.86782,220183.3287174264,16624.18430665767,18488.21602095802,18774.531796912674
5.2 Cards,12768.891599999999,890.1362799999999,1278.83265,1339.4751,59233.09297268314,3962.9845327501234,6249.982880960149,6534.324224391077
5.2.1 PoS based $,1116.15910268,73.49304000000002,87.21751,85.42615,19546.19595150395,893.2532714091196,1300.84790662501,1284.6669402798436
5.2.2 Others  $,11652.73249732,816.6432399999999,1191.61514,1254.04895,39686.89702117919,3069.731261341004,4949.134974335138,5249.657284111234
6 Paper-based Instruments,6999.12211,596.1121099999999,593.72,588.66968,6650332.5654518325,553256.392145476,599195.9200000002,579726.51
6.1 CTS (NPCI Managed),6999.12211,596.1121099999999,593.72,588.66968,6650332.5654518325,553256.392145476,599195.9200000002,579726.51
6.2 Others ,0,0,0,0,0,0,0,0
Total Retail Payments (2+3+4+5+6),724689.03292,53139.993149999995,83375.21297000001,88157.42464000001,52394049.01274289,4011552.879747847,5192086.0084807705,5153226.41585013
Total Payments (1+2+3+4+5+6),726767.42472,53307.64336,83569.62828,88346.68734000002,181051565.48406452,14752866.987780642,17548139.540954527,16704666.0962897
Total Digital Payments (1+2+3+4+5),719768.30261,52711.53125,82975.90828,87758.01766000001,174401232.9186127,14199610.595635166,16948943.620954525,16124939.5862897
