Payment System Indicators,Volume_inlakhs_FY_2021-22,Volume_inlakhs_2021_July,Volume_inlakhs_2022_June,Volume_inlakhs_2022_July,Value_inCrore_FY_2021-22,Value_inCrore_2021_July,Value_inCrore_2022_June,Value_inCrore_2022_July
1 Mobile Payments (mobile app based) ,507531.3744443,36837.05481,62581.277135000004,68450.72622,14973394.676785918,1137232.890412975,1715115.459137707,1786610.6836262746
1.1 Intra-bank $,40805.690612,3133.937,4309.58486,4902.42136,2726359.81293091,210685.39138182483,305130.9215628201,323926.18416463846
1.2 Inter-bank $,466725.6838323,33703.11781,58271.692275,63548.30486,12247034.863855008,926547.4990311502,1409984.5375748868,1462684.4994616362
2 Internet Payments (Netbanking / internet browser based) @,40726.5898471,3474.32791,3551.14042,3734.45924,83159995.76447701,6812775.339140739,8205044.26101147,7325645.9877176145
2.1 Intra-bank @,9583.322317099999,828.5578,866.17286,930.32429,52142582.30522114,4294237.557901736,5134747.645260068,4438066.3609900335
2.2 Inter-bank @,31143.267529999997,2645.77011,2684.96756,2804.13495,31017413.45925588,2518537.781239003,3070296.6157514025,2887579.626727581
3. Cash Withdrawal at ATMs $,65287.62647,5378.816059999999,5734.360159999999,5777.8847,3111947.7632517065,254886.35629666605,271367.7165534448,272103.3959564309
3.1 Using Credit Cards $,62.372780000000006,4.7399,6.78762,6.95063,3130.2990601579904,235.17025895100002,335.663431902,342.40416252599994
3.2 Using Debit Cards $,64898.803810000005,5348.69684,5694.36803,5735.51845,3097741.013200452,253780.26888214503,269935.70898218406,270609.048199317
3.3 Using Pre-paid Cards $,326.44988,25.37932,33.20451,35.41562,11076.45099109647,870.9171555700282,1096.3441393587,1151.943594587864
4. Cash Withdrawal at PoS $,91.16925999999998,7.44771,2.29927,2.25809,728.4529974949996,62.226334053,22.487550559000002,22.073849896000002
4.1 Using Debit Cards $,79.42136999999998,6.14968,2.27223,2.24677,557.141489357,43.265893029000004,22.355131909,21.985147346
4.2 Using Pre-paid Cards $,11.74789,1.2980299999999998,0.02704,0.01132,171.3115081379997,18.960441023999994,0.13241865,0.08870255
5. Cash Withdrawal at Micro ATMs @,11126.039999999999,869.89,1167.1599999999999,1082.22,299776.23999999993,22972.73,31318.269999999997,29517.48
5.1 AePS @,11126.039999999999,869.89,1167.1599999999999,1082.22,299776.23999999993,22972.73,31318.269999999997,29517.48
